,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
OR14A2,1.0488641,0.54021555,1.0722841,0.73323977,0.308873,0.3188971,0.93151605,0.57364327,0.69540906,0.69757736,0.9973855,0.40936086,0.6522405
OR14K1,0.83405465,0.7468261,0.7401941,1.038199,0.48060524,0.7681019,0.7594868,0.3793385,0.99441534,0.65612626,0.95401907,0.69255453,0.96484405
OR1C1,0.7056152,0.95817333,0.85967416,1.0786296,0.10866959,0.69120103,0.821106,0.59748673,0.9333833,0.5306121,0.5022425,0.46718267,1.0103956
OR14A16,0.65545094,0.6663565,0.9449128,0.84018636,0.47848466,0.8734183,1.162934,0.5738429,0.91733,0.9234267,0.92220056,0.37377143,0.8343035
OR11L1,0.6769213,0.73695624,0.75845593,0.7534395,0.39801878,0.9356833,0.8446642,0.42771673,0.7956752,0.8457551,0.7205721,0.74349105,1.008822
TRIM58,0.5941321,0.34043667,0.6594643,0.22604898,0.036750328,0.5982652,0.7038151,0.013723782,0.6344848,0.33121023,0.057272077,0.020183196,0.7732323
OR2W3,0.7544305,0.7208908,0.8087496,0.90033376,0.36295593,1.0614979,0.7530625,0.53797734,0.9004933,0.67941767,0.90700096,0.4946569,1.1135703
OR2T8,0.8513664,0.6805498,0.79926467,0.7720441,0.35358304,0.85416347,0.8469856,0.42774636,0.92379993,1.1870573,0.6547913,0.41926196,1.1384562
OR2AJ1,0.7975693,0.99003553,0.7933816,0.77068764,0.3378059,0.98061985,0.46697286,0.5540275,0.7944898,0.86540496,0.64788884,0.47874323,0.7771835
OR2AK2,0.89519715,0.833204,1.0407863,0.6913915,0.36087948,0.6561592,0.8256656,0.41377464,1.0105648,0.87728775,0.8392859,0.36939788,1.1503352
OR2L5,0.82821286,1.1539652,1.0889486,0.7577679,0.20918992,1.0705527,1.1232963,0.121393666,0.9548056,0.55670196,0.5575591,0.029674243,0.7363611
OR2L2,0.40778127,0.17304204,0.6740037,0.07667022,0.009966931,0.6133921,0.38128373,0.010872782,0.52339417,0.12862071,0.02094191,0.035774305,1.002628
OR2L3,0.61248255,0.9335855,0.9962477,0.82825667,0.22563884,0.80434585,0.79706657,0.36981001,0.92816,0.99233466,0.32463235,0.10437524,0.9837961
OR2L13,0.8542143,0.7445141,0.7927315,1.1032112,0.9100912,1.1322955,1.1169379,0.7503795,0.78009176,0.7959134,1.0529199,0.49255976,0.68244976
OR2M5,0.7009997,0.6910791,0.96193576,0.87421024,0.4547944,1.1021116,0.7028787,0.607181,0.7665093,0.8032018,0.3712624,0.2804307,0.9204251
OR2M2,0.44092816,0.8517458,0.7269934,0.75382125,0.42297542,0.86962175,0.6126728,0.9187694,0.80023515,0.70027214,0.47468203,0.10551951,0.8605226
OR2M3,0.83899975,0.6341433,0.7731626,0.571781,0.04703226,0.8347218,0.67250323,0.012744256,0.71958655,0.526808,0.3027828,0.0036707374,0.62297434
OR2M4,0.7158337,0.5536709,0.6056462,0.5842327,0.06827051,0.7391036,0.60814613,0.024916967,0.7368577,0.9776939,0.5130747,0.0053342343,0.9126429
OR2T12,0.7607701,1.0846438,0.93861413,0.8538838,0.3692273,0.82179105,0.7921157,0.43881834,0.6632314,0.71087015,0.8303524,0.25488436,0.93205684
OR2M7,0.834955,0.7379371,0.608271,0.829526,0.23921539,0.8390635,0.921301,0.7540367,0.7181804,0.89066046,0.5951878,0.44842714,0.910245
OR14C36,0.9205205,0.8463352,0.92348206,0.77755475,0.61629885,1.3178369,0.98005843,0.6960675,0.73716074,0.7210471,0.64942235,0.1816218,0.79249424
OR2T4,0.9285833,0.98842794,0.8334834,0.95171,0.56116486,0.9349008,0.8367708,0.5378892,0.7369369,0.74701756,0.6477687,0.37915644,0.81761163
OR2T6,0.74628544,0.63606775,0.7004163,0.85331666,0.49376342,0.61555946,0.69896775,0.41244954,0.8466087,0.8931112,0.6375945,0.7658717,0.79440093
OR2T1,0.9333264,0.8376515,0.8970312,0.87535775,0.45691195,1.0840808,0.8921141,0.22371675,0.75882757,0.707627,0.443163,0.22185837,0.6917751
OR2T2,0.8367361,0.70217484,0.76141715,0.8564774,0.52101845,1.0281267,0.871792,0.34930283,1.0012743,0.43107077,0.7438803,0.19503987,0.5741668
OR2T5,0.61169237,0.90103596,0.6605805,0.6842316,0.63521355,0.7291257,0.82342184,0.4753337,0.72453904,0.82248294,0.8495688,0.21152832,0.87992823
OR2G6,0.9272553,0.71893585,0.86993253,0.62819636,0.36156544,1.1377287,0.9809741,0.65931195,0.8909738,0.7505467,1.0639215,0.3866572,0.488447
OR2T10,0.94077975,1.1222335,0.74857956,0.55805874,0.49846303,0.7913166,0.6029658,0.4227364,0.67868096,1.1769394,0.662319,0.46172592,0.7912016
OR2T11,1.1143081,0.9336623,0.94416034,0.7910633,0.4095307,0.8748353,0.93582004,0.258413,0.5511995,1.117147,0.9259467,0.13355467,0.7846539
OR2T35,1.055337,0.86100906,0.8740686,0.8120108,0.46769544,0.75427395,0.91389865,0.31410128,0.78977674,0.651467,0.6217249,0.32774928,0.73255914
OR2T27,0.80998635,0.7941614,1.251747,0.9388303,0.77069604,0.882882,0.84942925,0.25385177,0.91464967,1.0089625,0.7372974,0.37070808,0.77913433
OR14I1,0.7737726,0.9073208,0.8499569,0.80891937,0.4912793,0.604703,1.0080832,0.4115184,0.9529443,0.9611169,0.90140504,0.3634668,0.9223101
LYPD8,0.81536186,0.90313065,0.8654182,0.9403337,0.74005425,0.77573043,0.6457427,0.66815,0.779949,0.82300484,0.55338836,0.21729341,0.8230081
SH3BP5L,0.10196142,0.14335173,0.35072657,0.09888019,0.0866798,0.52911896,0.3883326,0.048254576,0.20297328,0.04667094,0.054034553,0.14486305,0.6666463
ZNF672,0.09083217,0.0738165,0.28077206,0.18496776,0.058913864,0.23065995,0.112250395,0.11380009,0.18124832,0.13368994,0.07264246,0.18663277,1.3688536
ZNF692,0.2860011,0.14164211,0.40699962,0.2319402,0.15196691,0.3723112,0.21481776,0.06925769,0.14938559,0.14270903,0.093249954,0.19154492,0.87431294
PGBD2,0.18934615,0.06728723,0.31430367,0.030205904,0.07295276,0.31860235,0.119124606,0.032715816,0.21751031,0.039335903,0.05840814,0.09080986,0.6223797
FAM110C,0.14585342,0.077222236,0.44817734,0.04019049,0.019508434,0.5705702,0.23091681,0.0050365,0.31257182,0.09851556,0.034623463,0.1570954,0.6156347
SH3YL1,1.0842319,0.30913967,0.3275196,0.57607704,0.7059585,0.97395176,1.9585873,0.4649681,0.56057745,0.30585122,0.19714525,1.0446475,0.7491561
ACP1,0.420128,0.23902944,0.28018,0.560853,0.38867605,0.38240606,0.44069546,0.21186668,0.3064735,0.082514144,0.1467965,0.58493406,0.6414021
ALKAL2,0.6802558,0.55865836,0.7417977,0.38920853,0.014484421,0.96150506,1.0321497,0.011162272,0.64375675,0.81194925,0.2390084,0.014030996,0.7497764
TMEM18,0.089278504,0.12601659,0.4540513,0.3087179,0.09755496,0.59822774,0.4131376,0.071893945,0.64397055,0.10103356,0.06796038,0.1792462,0.85958415
SNTG2,0.49473336,0.24673516,0.41588652,3.2255898,0.016342813,0.521139,0.3606529,0.016837372,0.6632943,0.08294019,0.1300394,0.09663917,0.7194411
TPO,0.28845453,0.16534168,0.7770308,1.2537092,0.034727942,0.6348802,0.48468995,0.009449012,0.50616306,0.23205818,0.021910375,0.10063419,0.5775009
PXDN,3.0223808,0.12660432,0.96053725,2.5292835,2.1672142,0.5671158,0.34124216,0.07489104,1.0269125,0.40620676,0.08885168,1.825536,0.6814298
MYT1L,0.72178894,0.54550713,0.9051115,0.46991,0.018035645,0.7618893,0.6310764,0.035139117,0.68254125,0.5512915,0.18241683,0.01027088,0.68025947
EIPR1,0.4470787,0.58670855,0.48226732,0.5217745,0.5978633,1.0935364,0.59069586,0.559569,0.1495738,0.5733436,0.4794748,0.8132651,1.377783
TRAPPC12,0.86422217,0.5925057,0.33465576,1.130181,1.2884418,1.0684934,0.53786576,0.9149732,0.95672446,1.1315242,0.8795544,1.5947082,0.8117686
ADI1,0.5866283,0.19035915,0.30934504,0.33317938,0.15255621,0.4619081,0.14392619,0.06347875,0.2361862,0.1358124,0.032870427,0.16655576,0.80709916
RNASEH1,0.103334524,0.35284978,0.7212102,0.41992292,0.2922894,0.32067722,0.26353413,0.1055414,0.4448116,0.27232856,0.04889794,0.3001329,0.7366304
COLEC11,0.5925798,0.78295225,0.36692986,0.34958324,0.010600203,0.8567279,0.69183826,0.009615771,0.8395998,0.7283182,0.24561453,0.015991839,0.69218904
ALLC,0.9741363,0.9158304,0.7252219,0.67547876,0.4483344,0.8713408,0.62993,0.41485292,0.7840199,0.8053014,0.7344225,0.17251822,0.8508797
DCDC2C,0.69686675,0.45297673,0.79328686,1.0383272,0.1178251,0.59533674,0.68005216,0.030595286,0.9306379,0.55522203,0.60706264,0.0070702434,0.9709281
SOX11,0.9470575,0.7444035,0.71891963,0.7259483,0.044000674,0.77529806,0.7443717,0.0083552655,0.83142143,0.5790444,0.4969924,0.008197171,0.9256978
CMPK2,0.15741721,0.18001504,0.4714684,0.21153814,0.045447752,0.52290076,0.2396671,0.16112679,0.38354912,0.116833776,0.04514245,0.04888243,0.67447114
RSAD2,0.19297513,0.1677423,0.45987755,0.52510643,0.26413265,0.47861984,0.39035434,0.29409918,0.36194637,0.13574918,0.14114363,0.16742057,0.6600062
RNF144A,0.5852614,0.12201777,0.44717833,1.9350324,3.4937384,0.33068308,0.59682333,0.09770465,0.20877023,0.24966711,0.19277166,0.4555479,0.70312285
ID2,1.1525295,0.45052958,0.75023615,1.3775495,0.9148646,0.4376026,0.236614,4.203663,1.3609883,0.2393393,0.45024446,0.76325536,0.88588125
KIDINS220,1.8850416,0.74318784,1.047302,1.685106,2.1299,0.63799566,1.8151007,1.4581118,0.96571004,0.80277985,0.9690928,1.9655377,0.72612864
MBOAT2,0.6980673,0.058330044,0.7355659,1.2264866,1.5864075,0.6269785,1.0125563,0.31766436,0.54672647,0.4949602,0.071227044,2.649452,0.52773964
ASAP2,1.9347866,0.06875867,0.29871824,2.4917781,1.1553565,0.3742946,0.83717614,0.11048281,2.767622,0.12901072,0.05163632,1.1135795,0.704895
ITGB1BP1,1.6448202,0.1950958,0.4028285,0.82214814,0.80901414,0.42037192,0.40595597,0.318573,0.9909002,0.17772926,0.32510716,0.49890354,0.8573568
CPSF3,0.20066273,0.26800436,0.37990525,0.2496712,0.33528787,0.35704172,0.36748955,0.30078772,0.5539045,0.13102645,0.22985587,0.39259964,0.6943112
IAH1,0.7339783,0.16955578,0.3513819,0.58389354,0.37718776,0.34375212,0.40261096,0.21184365,0.15528339,0.18166873,0.17229281,0.36002907,0.5304569
ADAM17,1.6067296,0.5696284,0.6127621,2.9044633,3.3759575,0.36394858,1.1483741,2.0773396,0.74233246,1.1108446,0.8279812,1.9254829,0.64203805
YWHAQ,1.4199783,0.18620215,1.2669724,1.9234756,1.2455747,0.7367695,0.8589825,0.69924664,0.65572166,0.44477814,0.6319617,1.7544371,0.66225404
TAF1B,0.24067754,0.54196495,0.8988842,1.2673844,0.67342067,0.41608217,0.6029806,0.66777736,0.802051,0.4052851,0.35392928,1.252156,0.73768383
GRHL1,0.74607015,0.055850364,0.3455507,0.16743656,0.07134564,0.31974685,1.7783211,0.025470417,0.17421316,0.24713819,0.018965159,0.639421,0.9061884
KLF11,0.4931781,0.17187671,0.513443,0.43431318,0.090744935,0.40514293,0.22542334,0.22333267,0.28843346,0.1588498,0.03575855,0.095066294,0.7560976
CYS1,0.12756045,0.07483523,0.5773054,0.041042965,0.14239793,0.47523692,0.16730206,0.0123999,0.27159992,0.055989474,0.019273223,0.018417532,0.90633947
RRM2,0.3445277,0.20725963,0.60121214,0.1464737,0.063087806,0.6146185,0.70447856,0.103456,0.8335691,0.5506073,0.21863239,0.21268004,0.68944347
HPCAL1,0.3885188,0.6021813,0.48985153,1.1999143,0.25838327,0.6176889,0.12485101,0.77468264,0.16675024,0.48370773,0.53376037,0.541472,0.89064574
ODC1,0.12395869,0.24743792,0.82773364,0.45886877,0.08668076,0.5593685,0.15863211,0.07494481,0.35470352,0.28781304,0.084398635,0.2275277,0.6926537
NOL10,1.5876815,0.66272515,0.6492751,1.4428447,1.2514755,1.5276982,0.9934293,0.8204912,1.0800064,0.6983058,0.538566,1.3622557,0.71666366
ATP6V1C2,0.5610362,0.29698595,0.6156967,0.18084173,0.022862297,0.52392215,0.6307408,0.026955852,0.7722619,0.34059027,0.036942124,0.026189608,0.67882067
PDIA6,0.96648383,0.4198179,0.33943158,1.2295709,0.8849597,0.2964282,0.5057312,0.5353881,0.51576865,1.115389,0.4794145,1.2614326,0.7888419
KCNF1,0.7173191,0.39564854,0.67256975,0.5725068,0.3104952,0.8201107,0.6919267,0.4255289,0.7779085,0.6835683,0.6584672,0.49734667,0.8277926
C2orf50,0.25367984,0.0980383,0.63132113,0.074607015,0.007395154,0.63715196,0.24630067,0.0027733808,0.44439226,0.13670015,0.017631788,0.20151007,0.7017644
SLC66A3,0.2080375,0.13520361,0.45372814,0.3675984,0.27810568,0.330348,0.12274522,0.30040497,0.23313974,0.23177773,0.09773305,0.2798794,0.9956482
ROCK2,3.8119109,0.95547926,1.1490386,4.84133,3.0878181,2.2712464,1.044413,1.464215,1.9958485,1.2116228,1.0330578,2.5854342,0.5998224
E2F6,0.6700013,0.14907436,0.8070143,0.24718037,0.22639465,0.69480425,0.2535689,0.15975511,0.18639015,0.079185985,0.039086528,0.2496911,0.6611939
GREB1,1.7660276,0.19890955,0.66576415,0.5435248,0.7186132,0.54210126,0.14074463,0.062257912,0.22359338,0.4955093,0.01692327,0.9109468,1.0490998
NTSR2,0.84515035,0.83145815,0.5740221,0.8968218,0.6206728,0.7945943,0.9591925,0.62329507,0.7418843,0.92473584,0.7372404,0.4628142,0.7152827
LPIN1,1.216806,0.8941652,0.33497274,0.7793371,0.6066641,0.3716218,1.9046181,0.4924048,1.1053267,1.06686,0.44695574,0.31065518,0.5351901
TRIB2,0.11160392,0.14416248,0.50661004,0.42777386,0.32120374,0.4234903,0.21577844,0.012985547,0.2847996,0.1947731,0.10925691,0.06378085,0.6856177
LRATD1,0.19573613,0.07663921,0.34012845,0.5022673,0.096970476,0.37488228,0.5550461,0.004876319,0.16425073,0.09448312,0.03157157,0.116289414,0.750126
NBAS,3.9775958,1.7138568,0.60186297,3.9253283,5.3325887,1.261153,0.7520856,2.2223456,2.0280952,3.3647146,1.295023,4.74227,2.205013
DDX1,0.5173445,0.6114655,0.30978045,1.2355636,0.8262824,0.28845,0.46603063,0.5438029,0.9816107,0.5612736,0.334468,0.9623537,1.3035451
MYCN,0.93550146,0.7019916,1.00042,0.63457376,0.6926205,0.9405228,0.9974186,0.8628228,0.88370216,1.0433977,0.7054984,0.42474744,0.8824554
FAM49A,1.1628604,1.1476787,0.7497208,0.6010821,0.93673724,0.3567199,0.32287076,1.7577724,0.8537389,0.6292673,0.18670793,0.24834393,0.7242097
RAD51AP2,0.7705161,0.56359136,1.0696636,0.65649897,0.06685341,0.79999346,0.77418417,0.011217445,0.7988686,0.8519288,0.40450937,0.0029729954,0.7745016
VSNL1,0.15589799,0.11942125,0.810804,0.075017266,0.60763794,0.6090528,0.35128596,0.01995091,0.39687502,0.05400221,0.038801108,0.08401423,0.82128066
SMC6,0.74137604,1.4359812,0.9861461,1.2695216,1.7010763,0.4481799,0.6849877,0.75011855,0.9830413,0.9314044,0.6894549,1.6210321,1.6488602
GEN1,0.48451605,0.34372464,0.40904507,0.40480483,0.47877738,0.7817882,0.24373652,0.46930265,0.29256397,0.57303184,0.19106297,0.58849037,0.6545834
MSGN1,0.6331448,0.8762077,0.7751151,0.9206512,0.5152051,0.71849734,0.8927174,0.33345503,0.8522135,0.8158913,0.69060385,0.3491849,0.8880298
KCNS3,0.14064415,0.058007333,0.8282381,0.27857175,0.19176032,0.39246327,0.4656734,0.035971556,0.43899694,0.1853866,0.018088823,0.550625,0.80311257
RDH14,0.17454684,0.07426154,0.5988526,0.13043049,0.11597744,0.28894603,0.11070838,0.061375834,0.1948681,0.038010046,0.057210308,0.26316884,0.59019375
NT5C1B,0.35959545,0.20510998,0.6196299,0.07004909,0.024537684,0.6971184,0.47972533,0.004048202,0.6363685,0.10176843,0.024862034,0.051923018,0.8644902
OSR1,0.5748377,0.5355026,0.76804173,0.4516308,0.04268314,0.69094956,0.69074804,0.0077623655,0.7448545,0.41012925,0.08296238,0.015621776,0.8632795
TTC32,0.097365074,0.066827156,0.2911077,0.22738247,0.15720664,0.33679342,0.10999149,0.06589743,0.54289514,0.13360941,0.14060658,0.2140629,0.8200916
WDR35,1.0206558,0.22348201,0.2937024,0.9590443,0.6321606,0.44566706,1.5190446,0.19710438,0.25744104,0.37287968,0.34862298,1.8678573,1.2090796
MATN3,0.23590177,0.0814898,0.43714982,0.22541693,0.84973216,0.4429789,0.19199342,0.036195915,0.22567292,0.12074354,0.018058551,0.22965091,0.64287937
LAPTM4A,0.9701003,0.20073406,0.3205814,1.2325932,1.5116137,0.38128993,0.2993711,0.48300168,1.1543505,0.26233026,0.20494184,1.7442539,0.6609201
SDC1,0.3032198,0.055837322,0.9048158,0.20616032,0.66238904,0.74137074,0.1301937,0.06091059,0.24498817,0.5541152,0.037246324,0.5578886,0.957971
PUM2,3.1786757,2.5395968,1.4517785,4.4720774,3.9590702,1.636389,2.7091968,3.1974149,2.1866906,2.7201476,2.5952618,6.1210947,1.6823552
RHOB,0.80703753,0.12562992,0.33171603,0.8602245,0.28823894,0.6401416,0.433086,0.18551326,0.36311322,0.4266142,0.016657699,1.2791973,0.4733856
HS1BP3,0.19716515,0.12774463,0.3295169,0.26377407,0.27236181,0.40193132,0.12760574,0.3296817,0.41886735,0.13742508,0.0890922,0.17568272,0.7147462
GDF7,0.44791555,0.88728774,0.9524152,0.87713194,0.6916059,0.80386186,0.3779679,0.24026044,1.0076662,0.8812004,0.48836097,0.20880017,0.7918321
LDAH,0.86793864,0.5918159,0.6623291,1.0765905,0.80695486,0.41575998,0.5385605,0.7764565,1.027407,0.8305539,0.49999213,0.8476838,0.7209629
APOB,0.9470025,1.0789827,0.80094266,0.6254295,0.17653814,0.88273454,0.53907585,0.17107178,0.7515419,0.9843436,0.55742854,0.083404586,0.5119269
TDRD15,0.8845836,0.67702293,0.7181611,0.57610905,0.017510867,0.6046823,1.0197535,0.060694877,0.88669366,0.85801256,0.32018983,0.013708837,0.9573977
KLHL29,0.6997053,0.17993866,1.1192724,1.0921689,0.96667093,0.6604911,0.29942614,0.05934492,0.82168734,0.075855024,0.07612396,0.25587636,0.7852845
ATAD2B,2.0176375,2.1932013,0.3054927,3.4999223,3.103773,0.6204314,1.3300805,2.7052073,1.9727955,0.73088515,1.4737428,2.5886877,0.5958424
UBXN2A,1.492851,0.2712825,1.305186,1.0198376,0.64298767,1.0338132,0.23012252,0.33692086,0.6157488,0.53410894,0.3936495,0.9473781,0.6208917
MFSD2B,0.30095688,0.21579975,0.46875948,0.08357983,0.024190752,0.7708794,0.70255727,0.015943142,0.63249403,0.14375404,0.10875609,0.045492195,0.6784615
WDCP,0.18014164,0.43896136,0.49119398,0.079101,0.04955499,0.71542156,0.31016934,0.0148765035,0.42377058,0.068490446,0.04108662,0.09238148,0.77342474
FKBP1B,0.20304874,0.13751,0.8894496,0.05859559,0.025951337,0.7480137,0.19119088,0.017437961,0.5112497,0.09789623,0.02979275,0.024620872,0.699173
SF3B6,0.16381513,0.05477342,0.29532608,0.19867581,0.19180064,0.3569908,0.10969856,0.0830883,0.18879369,0.2569153,0.08719867,0.4992107,0.6892989
FAM228B,1.4099423,0.40523043,0.37092134,0.88522494,0.67004967,0.32852438,0.7740852,0.69299567,0.50116426,0.31513393,0.26191813,0.779201,0.7160551
TP53I3,0.106539704,0.13618194,0.31129542,0.19964215,0.33256137,0.31944606,0.15813842,0.080558814,0.2790269,0.04405927,0.017775994,0.21889172,0.62054956
PFN4,0.56338304,0.22343436,0.7232919,0.08564575,0.02203977,0.53701735,0.4806397,0.02051372,0.9034783,0.26254734,0.028958032,0.054707933,0.640343
FAM228A,0.5866411,0.5733259,0.6886459,0.51797676,0.009486556,0.9115207,0.63211703,0.027642507,0.88012433,0.50028783,0.06728656,0.016615836,0.80391896
ITSN2,2.5589395,2.491772,0.916266,3.2226012,1.850825,1.5460831,1.7448671,3.3265543,2.6610906,1.344059,1.419115,1.9074589,1.4060581
NCOA1,3.5266461,2.1248872,2.1995838,6.3414917,5.9957824,1.4251794,2.3706584,3.1856532,2.8532271,2.6737728,2.5566766,4.8893547,2.796527
PTRHD1,0.26887506,0.08616305,0.5191042,0.08048626,0.04404186,0.52255195,0.18442932,0.014368311,0.32045695,0.10378515,0.020595346,0.13867356,1.040547
CENPO,0.106561586,0.062646724,0.41576383,0.09637874,0.10205474,0.38442954,0.23574254,0.08191678,0.4096999,0.08607638,0.047586672,0.11866745,0.44656283
ADCY3,0.2066329,0.36130947,0.3341381,0.54572386,0.39791217,0.4376134,0.14717956,0.42608067,0.8736837,0.29451567,0.30059007,0.19742118,0.70462644
DNAJC27,0.59812826,0.13351235,0.79572666,0.21593867,0.24998778,1.3803703,0.255467,0.12818423,0.33909962,0.28735983,0.09970419,0.50050074,0.71777225
EFR3B,0.16975437,0.10044701,0.63530916,0.27746654,0.1335169,0.7306427,0.28454617,0.01949986,0.40697318,0.05565567,0.038855452,0.18633166,0.770536
POMC,0.96643776,0.7089855,0.9347412,0.54914176,0.08895573,0.9972161,0.7517824,0.13699828,0.8111919,0.8299152,0.69369614,0.018013129,0.5033009
DNMT3A,0.9893827,0.26529816,0.33219123,0.9958188,0.956775,1.3751239,0.22979744,1.0084554,1.188618,0.50789106,0.49178362,0.7808318,0.6749622
DTNB,1.044305,1.2228867,0.66092026,1.6799792,0.9998311,1.1492467,4.2882023,1.5218364,0.2016012,1.1044375,0.9327661,3.175162,1.322616
ASXL2,1.5501431,1.3370166,0.65591097,2.1223133,1.7961122,0.9237591,0.6162841,1.7564534,1.8027102,2.1985033,1.4179746,2.3920486,1.4769772
KIF3C,0.1452284,0.10515256,0.48225844,0.20784959,0.14108811,0.51568353,0.36434108,0.05868449,0.42948627,0.103076644,0.11105272,0.08535607,0.4454561
RAB10,2.086239,1.1725792,0.6046605,2.8794026,2.189272,1.1733687,1.9590474,2.9690852,1.2019879,1.2443401,0.77922654,3.4588974,0.72156596
GAREM2,0.48879057,0.6909114,0.6526971,0.25423372,0.040191215,0.8049522,0.5659317,0.008153723,0.54866207,0.26815924,0.07959431,0.010878636,0.7438578
HADHA,0.6436455,0.3981856,0.30673894,1.252038,0.69790673,0.30498448,0.4768031,0.7768927,1.0609102,0.52414525,0.3322497,1.1120814,1.6400462
HADHB,1.0865585,0.9239644,0.30798462,1.3633422,0.98665524,0.24391228,0.1033691,0.8876463,1.1296649,0.5032031,0.3299594,1.1503663,0.78469956
ADGRF3,0.6395198,0.66155726,0.77599907,0.57019895,0.022075975,0.8884158,0.5050904,0.0187512,0.63445175,0.7601682,0.1838706,0.024420653,1.1329051
SELENOI,0.6692789,0.39352313,1.1610115,1.1016003,0.83715886,0.429236,0.540202,0.5404815,0.88868713,0.8035551,0.50907147,0.8143849,0.62407416
DRC1,0.121267125,0.10163498,0.7153998,0.15074727,0.09874403,0.33717796,0.25342947,0.041404884,0.3147786,0.11657072,0.042933624,1.1795788,0.87789637
OTOF,0.6634581,1.0744516,0.8932775,0.9931489,0.11655367,1.0358506,0.70648795,0.31081748,0.75593704,1.2398444,0.5782998,0.04605986,0.88646156
FAM166C,0.28918812,0.22692032,0.5369471,0.0777755,0.008865273,0.8500959,0.48741013,0.003983068,0.43475315,0.10567046,0.056826122,0.08053981,0.6661594
CIB4,0.9763311,0.7254122,0.85968566,0.6214817,0.25715262,0.85807586,0.76451415,0.169773,0.6891837,0.79656404,0.66747683,0.055057574,0.8875692
KCNK3,0.92470515,0.7336934,0.7520824,0.64015627,0.068720385,0.56527054,0.54717296,0.05484497,0.7861604,0.6367821,0.7797872,0.02872631,0.8883431
SLC35F6,0.18033706,0.20339021,0.42770588,0.28694156,0.19606149,0.28563267,0.11271678,0.11495073,0.38386697,0.19444737,0.067916274,0.53651667,0.6023967
CENPA,0.28257906,0.06909801,0.37690985,0.06331399,0.085561484,0.4472824,0.13634938,0.09742335,0.42321825,0.090031326,0.11080424,0.22617283,0.7107745
DPYSL5,0.71732634,0.4219789,0.8462272,0.70721114,0.0297504,0.83379185,0.7355284,0.020646706,0.5093272,0.91833407,0.6430033,0.017463157,0.6104946
MAPRE3,0.09963886,0.072976544,0.6537421,0.13608772,0.16541119,0.37195274,0.3681417,0.03414377,0.22909808,0.14694469,0.051229354,0.50513166,0.8909203
TMEM214,0.47201103,0.1928835,0.26877552,0.22331545,0.34011406,0.3033129,0.13992657,0.056484766,0.55013084,0.23599139,0.06837426,0.2423174,0.6434333
AGBL5,0.44523484,0.16995957,0.42046154,0.19789317,0.17821276,0.38198453,0.53496474,0.09411636,0.6311011,0.09614251,0.043735597,0.2151508,0.55108184
OST4,0.7386796,0.17772542,1.1042142,0.75067717,0.3845063,0.2894669,0.38177484,0.14692476,0.21572512,0.27830175,0.20506202,0.6717025,0.9167865
EMILIN1,1.0481987,0.17450404,0.28536314,0.5059743,2.4260602,0.32460767,0.12032823,0.06658375,0.73501885,0.039088428,0.018292692,0.28697452,0.8052898
KHK,0.42162332,0.16391939,0.7574585,0.073482685,0.03315751,0.9009443,0.35395303,0.008689375,0.7252802,0.3053647,0.0291619,0.019421583,0.5241158
CGREF1,0.23694345,0.18155941,0.5894138,0.049617834,0.109250344,0.7091711,0.61666375,0.0038522559,0.8103509,0.08823915,0.026712283,0.02129807,0.9615088
ABHD1,1.0214348,0.9100906,0.78798974,0.50940233,0.02607957,0.80795264,0.8005857,0.024166912,0.73263186,0.7383741,0.30928564,0.026502293,0.7759612
PREB,0.0990338,0.13899884,0.3121714,0.18307553,0.15290305,0.42986763,0.36154184,0.077384986,0.4094456,0.26916906,0.0577163,0.13076541,0.5841795
PRR30,0.73123634,0.727441,1.2479268,0.667944,0.6456128,0.7616307,0.13846985,1.0374258,0.8281448,0.7799679,0.6611323,0.06733842,0.8677132
TCF23,0.58953375,0.6297103,0.95969486,0.6156827,0.2620573,1.1634405,0.9748757,0.3025391,1.0116127,0.8893652,0.6009897,0.14276432,0.5979923
SLC5A6,0.591598,0.06190827,0.43546453,0.098354645,0.12265555,0.6568742,0.24564227,0.0709558,0.18333858,0.05971646,0.07799918,0.26735103,0.6706187
ATRAID,0.4774577,0.13364115,0.43524027,0.5471988,0.2675754,0.32466465,0.114080824,0.11485682,0.36467832,0.3051528,0.1547283,0.5190634,0.78784066
CAD,0.20176972,0.2233939,0.25835243,0.12893887,0.20407566,0.30302718,0.11904512,0.14056744,0.54138684,0.116137005,0.071980774,0.23789434,0.5268743
SLC30A3,0.90306306,0.7468617,0.8461251,0.8383414,0.5157697,0.7904224,1.0206839,0.5502342,0.9247466,0.5129268,0.6895911,0.8470285,0.64762664
DNAJC5G,0.5237176,0.625952,0.70613056,0.7834738,0.5136094,0.7656106,0.59667665,0.5694444,0.8945699,0.83093196,0.6643378,0.38938996,0.876392
TRIM54,0.56831276,1.3991005,0.88299704,0.87602276,0.10963257,1.0964637,1.0496513,0.3817026,0.9374106,0.40727112,0.7259822,0.16448885,1.0149279
