,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
HSPB8,0.29759586,0.11769226,0.6422389,0.09135734,0.037779763,0.6430257,0.26208586,0.0028864054,0.49078673,0.052112307,0.022588968,0.05941354,0.7535261
CCDC60,0.3359424,0.20285839,0.51075524,0.66365546,0.020397495,0.8003189,0.37154892,0.039794058,0.45696765,0.0893272,0.02304509,0.0098778615,0.73071754
TMEM233,0.11362264,0.09826494,0.46480328,0.6082734,0.013991935,0.4332869,0.16968028,0.00580057,0.32039484,0.062394835,0.024949912,0.005825294,1.0465691
PRKAB1,0.09359473,0.06013668,0.33835623,0.237677,0.1443663,0.38065204,0.2504431,0.18345457,0.16045035,0.03704686,0.05580369,0.31657526,0.75988394
CIT,0.13967401,0.1824072,0.50033045,0.26376414,0.08623367,0.8781233,0.1993517,0.15892726,0.5619603,0.10592931,0.21601544,0.4365599,0.7007995
BICDL1,0.71031207,0.4128426,0.41601235,0.26000327,0.2643402,0.43176273,0.2538787,0.269877,0.4497032,0.1596868,1.2439287,0.5835732,0.99228746
RAB35,0.080065094,0.13460553,0.35120612,0.22963308,0.21005937,0.39206162,0.0991344,0.22375822,0.16256681,0.18078355,0.14113338,0.24669895,0.6461106
GCN1,0.4512721,0.45915338,0.2752983,0.4681624,0.5227542,0.30102056,0.84970754,0.31738314,0.18032818,0.49339154,0.2641205,0.672608,0.766686
PXN,0.51275796,0.12619038,0.91462463,1.2687037,0.39433724,0.2525635,0.42653984,0.30743587,0.36330184,0.31905437,0.15359585,0.9364276,0.69577575
SIRT4,0.66913104,0.46751887,0.60991716,0.2880222,0.04434019,0.95429415,0.8691565,0.010746322,0.8353658,0.39944738,0.10075473,0.034942508,0.57432294
PLA2G1B,0.7124976,0.80312675,1.0868362,0.67933476,0.57590085,0.7391056,0.74957055,0.2990821,0.8515432,0.6396724,0.6797253,0.1764851,1.1825261
MSI1,0.07725976,0.0716468,0.3294238,0.035170507,0.04620848,0.28230098,0.33920333,0.0035529668,0.25787982,0.053263694,0.018511461,0.043715827,0.736932
COX6A1,0.95189756,0.30598846,0.8367915,2.0225666,0.95294964,0.64040965,0.19741945,0.5222601,1.2010165,0.64484745,0.38488397,3.18857,0.4724707
TRIAP1,0.12573768,0.14182244,0.4742482,0.10672254,0.050423045,0.40657803,0.12920845,0.03335152,0.43930653,0.083992265,0.018307853,0.14591382,0.8353476
GATC,0.57086843,0.14186625,0.4064418,0.13710931,0.238239,0.49890092,0.13963045,0.13103257,0.3899861,0.18721363,0.114891835,0.353299,0.704308
