,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
CCNL2,1.7537634,0.87624407,2.8683228,2.547062,2.0399005,3.156289,3.1778395,1.3626401,1.6070265,0.7994399,0.5420064,2.8861635,1.1096765,8.065738
MRPL20-AS1,0.7411808,0.20695983,0.4482623,0.2381528,1.1511104,0.022266794,0.3387627,0.15314476,0.017993791,0.17762367,0.84988326,0.10202955,0.035303283,0.16501175
MRPL20,0.8171978,0.14063357,0.99842715,0.4545603,0.5431385,0.40657535,0.6938565,0.6520436,0.5156707,0.2720684,1.4370317,0.60865176,0.38153335,1.2934484
AL391244.2,0.976078,0.6152167,0.7550174,0.73885155,0.9342335,0.2116938,0.6982661,0.7567566,0.032543994,0.8208183,0.9454159,0.56404394,0.033258453,0.1007926
ANKRD65,0.78372693,0.18575813,0.2999938,0.4644567,0.5378446,0.035379335,0.4399505,0.09214321,0.007478957,0.1648726,1.088512,0.019521892,0.007598901,0.04992063
AL391244.1,0.6692202,0.85162675,1.1098562,1.0898446,0.95899576,0.92809945,0.8338723,1.2553157,0.808221,0.9715153,0.8175365,0.8691688,0.8040323,0.8768572
TMEM88B,0.8866367,0.82166576,0.9427427,0.89737177,0.7276689,0.9419316,0.71200985,0.92767155,0.6517138,0.83422756,0.7974304,0.77397764,1.152786,0.7580648
LINC01770,0.73058885,0.8088903,0.89674723,0.9936559,0.969806,0.84726757,0.93126655,0.99863136,0.6315009,0.9079602,0.8861291,1.0165874,0.51921076,0.68247837
VWA1,0.6763705,0.19408427,0.43694082,0.5119608,1.629481,0.12604977,0.24021766,0.87420464,0.033224016,0.338701,1.2718437,0.01942463,0.019380964,0.41285113
ATAD3C,0.7202449,0.2618133,0.86310846,0.6355789,0.6486813,0.042583235,0.78100693,0.20521936,0.018820845,0.18139654,1.2246425,0.14886627,0.0106664775,0.387361
ATAD3B,0.9636201,0.14591257,0.6017389,0.36027777,0.58882946,0.33425808,0.5112349,0.105647616,0.21647355,0.14563406,0.64130515,0.33246472,0.10956009,1.1451501
ATAD3A,0.9032281,0.1578476,0.3147915,0.47239035,0.5710857,0.18682812,0.33729348,0.3164507,0.07745393,0.13764168,0.60561925,0.11156931,0.060172893,0.4340993
TMEM240,0.9047997,0.75465226,0.86436456,0.67424566,0.8506922,0.4088658,0.8740228,0.6003673,0.01828307,0.91904306,0.9297731,0.18342301,0.007588307,0.044303887
SSU72,0.8951836,0.29626638,0.9550552,0.60591537,0.81376976,0.34350607,0.8071848,0.5173824,0.41043022,0.44660598,0.6400581,0.3506241,0.28616774,1.1052085
