,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
PRR20C,0.640568,1.0379503,0.7907468,1.0421453,1.0888344,1.059473,1.0934653,1.1060641,0.68125165,0.8432527,1.2798307,0.8342139,0.5511846,0.8611697
PRR20B,1.1640162,0.72548646,0.8474361,1.0527043,0.8751598,0.8349348,1.0524144,0.7632657,0.8773876,1.012049,0.8789803,0.7689153,0.6534534,0.69782215
PRR20D,0.88829315,0.83017296,0.90751576,1.0498692,1.0781925,0.7475509,0.86799294,0.8027045,0.6892509,0.69680595,1.0804617,0.9598874,0.849997,0.74406266
PRR20E,0.79646593,0.8445996,1.0841092,1.0128657,1.1168675,1.0804987,1.0708534,0.944036,1.214018,0.9479159,0.84684265,0.9741541,0.9674494,0.8352696
PCDH17,0.75887454,0.20196614,1.4620898,0.11503469,4.2098875,0.12918237,3.2639873,0.658667,0.010915862,0.15018046,0.713498,0.020757267,0.004762593,0.0066122855
AL445288.1,1.02295,1.0646665,0.83850086,1.0303926,0.8838965,0.8386745,1.0213137,1.1771182,0.63716996,0.91905195,1.0159892,0.8077091,0.5224392,0.6889329
LINC02338,0.7340134,0.90773714,0.75818354,0.9053091,1.0932864,0.9180906,0.846815,1.0079558,0.74969417,0.8755394,0.56275964,1.0089768,0.8583849,0.7354246
LINC00374,0.8045963,0.9637827,1.0740459,0.8988316,1.1694696,0.52040774,0.9039685,1.206458,0.59033555,0.8108256,0.7226291,1.0756747,0.5883189,0.93508655
AL159156.1,1.3236891,0.7914865,0.9512745,0.6754862,1.2165003,0.7522662,1.0394306,0.9625422,0.45206246,1.0769905,0.9041932,0.91578615,0.2903019,0.67958456
DIAPH3,0.9515049,0.7062974,0.7723273,0.84262496,1.2605032,0.27898452,0.5335161,1.2503067,0.6986609,0.49332482,0.8210054,0.18256715,0.19915992,0.42670673
DIAPH3-AS1,0.8579163,0.85757774,0.85311735,1.0010197,0.79812074,0.774473,1.0440037,0.94166577,0.5857155,1.0236915,1.0433358,0.60019624,0.38464236,0.52685523
DIAPH3-AS2,0.8646572,1.0217655,1.0956209,0.8679423,1.0135758,0.8094466,0.8571638,0.86959696,0.5971803,0.97878593,0.9006729,0.8955111,0.7000786,0.6431466
LINC00434,0.8693224,0.70578885,0.895454,0.8501745,0.91903263,0.9098076,0.8546635,1.0066047,0.9446101,1.0695323,0.82081074,0.9730476,1.0530702,0.819154
TDRD3,1.5933274,2.4955184,2.4623456,3.9081903,1.937789,2.7334328,3.4438639,1.128869,2.064217,2.1007166,0.6311914,1.5225415,1.6338826,5.7417493
LINC00378,1.0823303,0.85322535,0.8515706,0.739438,1.0001904,0.25578973,0.85514927,0.90087026,0.04480844,0.66621464,0.9570138,0.51528,0.007129361,0.14387774
LINC01442,1.0358555,0.8689647,0.91666365,0.786883,1.082952,0.807085,0.85221004,1.1089344,0.71056885,0.96971565,0.7318947,0.83947784,0.83456457,1.0204732
PCDH20,0.9540795,0.9164207,0.97596717,0.9289378,1.0883461,0.764828,0.83273494,0.83022857,0.81020766,0.8779772,0.84023273,0.5097372,0.5216405,0.46410984
LINC02339,0.8704858,0.9579993,1.0034673,1.0032245,0.9455969,0.52095544,0.9769577,0.89307886,1.0304825,0.9017922,0.9844299,0.9292485,0.7219212,0.90104175
LINC00358,1.1638118,1.0072469,1.1395081,0.9106012,0.8712295,0.7363184,0.9351875,0.8896493,0.80184054,0.8226441,0.8832508,1.1156064,0.62404555,0.8356369
LINC01075,0.9288262,1.0050366,0.8939755,1.2474836,1.0255483,1.0035021,0.74748343,0.79790974,1.0295017,0.67645884,1.1193984,0.96637774,0.6859848,0.92475927
LINC01074,0.97388935,1.0151627,0.9859917,0.7407764,1.063675,0.8662861,0.8025135,0.8655577,0.7959364,1.0476537,0.9648684,1.0022688,0.68575364,0.8912312
LINC00459,0.96046424,0.9576102,0.97194153,1.0249865,0.9598066,1.123456,1.2061214,0.9626575,0.85274464,1.0048652,0.8358831,0.90342486,0.6568146,0.93835557
AL445668.1,0.7429605,0.9405496,1.0197903,1.0398973,1.0455757,1.3518262,0.9169354,1.1264334,0.8265096,1.072205,0.9355473,1.099363,0.6107003,0.6823524
LINC00448,0.85934126,0.7963303,1.0738506,0.8745659,0.6056829,0.47161353,0.9444653,0.9123961,0.39253578,0.9404365,0.8294876,0.7007035,0.27080256,0.29449716
AL354810.1,1.2927423,0.82157916,0.9455062,1.1005961,0.9677048,0.7120692,0.93306464,0.91748565,0.7993962,0.75366765,0.96818787,1.2642704,0.78297704,0.5058477
LINC00376,0.4618312,0.6968872,0.9103649,0.8418204,0.8119202,0.9004436,0.9341998,0.93903506,0.6599678,0.9634459,0.8076285,0.79747975,0.8396969,0.4390817
AL359208.1,0.86472124,1.2024332,0.82931453,1.0488242,0.85826814,0.75462306,0.98457533,0.9118132,0.5747167,1.0533823,0.7200914,0.66616344,0.5112522,0.7780435
LINC00395,0.82966167,1.0261745,0.9364671,1.082212,0.7499307,0.8862068,0.8271667,0.97570306,0.8634592,0.757675,0.7732611,0.9573329,0.89050835,1.377402
AL445989.1,0.7850761,0.77014565,0.80752444,1.0372802,1.0683342,1.0028075,0.89101624,0.8764714,1.0252402,1.0533886,0.90461695,0.8390712,0.8752219,0.6808762
AL445238.2,0.80671126,1.1461351,1.1290636,1.0501627,1.031547,0.78231853,0.8458525,0.8764714,0.8966754,1.0408514,0.94344294,0.96831524,0.7656863,0.9842998
AL445238.1,0.88706917,1.0625663,0.9805839,0.7800612,0.7492578,0.74787897,0.99274606,0.84133977,0.93705064,0.8419851,0.98933077,0.9323402,0.6586636,0.78828096
LINC00355,1.1045029,1.108196,0.9496821,0.8221467,1.0902525,0.60360956,0.88179636,0.6988499,0.70683676,0.85162514,1.062937,0.7699175,0.62668455,0.51515883
LINC01052,1.0017011,1.0635897,0.8392076,1.0469247,0.5133501,1.1958683,1.0473235,0.9489151,1.0829747,0.7515669,0.955389,1.0372562,0.6903666,0.64386415
AL158038.1,0.72493607,0.7662086,0.869952,1.0389439,0.9800902,0.8310313,0.85509384,0.9510087,0.4480551,0.91783434,0.8480457,0.71995056,0.41409412,0.53423506
PCDH9,0.6462283,0.72032434,0.9338999,0.15250725,0.661158,6.629825,4.020499,0.16805463,0.049997557,0.22502805,1.2080635,0.5775066,0.19592565,0.10658602
PCDH9-AS1,0.915462,0.78975934,0.8427327,1.0937563,0.707226,0.6996022,0.85693955,1.1466714,1.0412854,0.9974229,0.841179,0.7787071,0.756038,0.72143775
PCDH9-AS2,0.8208191,0.4264299,0.7641776,0.24930276,0.68885845,0.36188,0.50721794,0.26089096,0.014326391,0.36485925,0.762857,0.03608052,0.0067251064,0.011605578
PCDH9-AS3,0.976639,1.0773003,1.2315853,0.98948234,0.99114263,0.6666733,0.9571887,0.99254,0.81980306,1.102896,0.8883512,0.75009006,0.59137607,0.57244176
PCDH9-AS4,0.8489239,1.0760672,0.8986462,0.89778805,0.712653,0.9451622,1.1735395,0.960037,0.56622607,0.8235558,0.573505,0.82616395,0.5927846,0.9022639
AL160254.1,0.9581825,0.3484509,0.9296809,0.15580729,0.64884764,0.18754973,0.28713912,0.29657754,0.006705292,0.2911002,0.874033,0.045596443,0.012751337,0.0069246553
LINC00364,0.8084943,0.9338909,1.076161,0.7829963,0.89824474,0.77180344,1.0323195,0.9167483,0.83479613,1.2450165,1.1963999,1.0253922,0.7323603,0.6810726
AL512452.1,1.0902684,0.9299445,0.89138883,0.9060575,0.956827,0.8152472,0.87728333,0.7536905,0.40040523,1.0034875,0.8642609,0.7262734,0.58802074,0.4581444
AL590027.1,0.58066016,0.9315363,1.2435389,1.0226263,0.7839824,0.79554754,0.948106,0.81603026,0.7802448,1.0374669,0.86976,1.1888676,0.75945705,0.7850194
LINC00550,0.9914557,1.0835856,0.9025691,0.9681083,0.9231874,0.98014116,0.96989006,1.0384374,0.80039966,0.8889496,0.75924397,0.8427605,0.85260475,0.75354546
LINC02342,0.9621147,0.9523888,0.809942,0.5414122,0.9945605,0.71044046,0.94599295,1.0136002,0.5186766,1.007055,0.6571497,1.0787038,0.5186887,0.8675476
LINC00383,0.924716,0.9725981,1.0827729,0.91071504,0.8079936,0.94077253,1.1534618,0.8133798,0.8063458,1.0253166,0.97168577,1.0564195,0.63030344,0.5215805
KLHL1,0.68594146,0.86237097,0.89613664,0.9274614,0.86709553,0.5359121,1.1297952,0.7811846,0.3103193,1.0390314,1.0864598,0.7660664,0.19518143,0.22711262
ATXN8OS,0.9806287,1.1704892,0.9173568,0.73592764,0.7654896,0.7791938,0.8396163,0.691983,0.99870366,1.2302134,1.0122677,1.2814896,0.6090479,0.8570175
AL160391.1,1.3161812,0.9306437,0.6907455,0.92788243,1.1392068,0.73795855,0.83494717,0.9592231,0.8851089,0.7234904,0.87872505,0.8897599,0.8829261,0.88383746
LINC00348,0.9396967,0.9672862,0.98712564,0.7695737,0.89185625,0.58218473,1.3120437,0.6399666,0.10556283,1.0579904,0.768033,0.5222247,0.027241116,0.06629329
DACH1,0.77903813,0.15391427,1.3406609,7.5776296,2.4315534,0.558589,13.303212,1.2714224,0.13801372,3.3225389,3.7076023,0.048137557,0.09008693,0.15046409
MZT1,0.9042236,0.2271395,0.35466096,0.60804814,0.62305105,0.098859936,0.119268425,0.45701844,0.16697194,0.41533825,0.56624013,0.08508011,0.12175486,0.47761348
BORA,0.8714798,0.37815106,0.3850558,0.29949874,1.6566744,0.11003125,0.45076177,0.29491514,0.36645198,0.19001277,0.6562207,0.26173687,0.24688493,0.49109423
DIS3,0.7616833,0.4556661,0.28536057,0.52624434,1.9509102,1.0363239,0.5776913,0.7451046,0.6699212,0.5792774,0.6003678,0.7616563,0.56248444,1.5280843
PIBF1,0.6982759,1.5821716,2.6843271,6.209773,1.797216,3.0117745,4.702372,1.3132619,3.218205,2.6420503,2.0319529,2.5510979,2.2829654,10.39637
KLF5,1.5460634,0.22005753,2.3665655,5.311697,0.607195,0.23587921,0.34369823,0.7987247,0.13384107,0.56987864,1.8951517,0.22937295,0.067194864,3.815492
LINC00393,0.80563813,0.23942666,0.4491329,0.13129048,1.2429367,0.037883643,0.32021254,0.15603529,0.040907215,0.23307683,0.80086654,0.04217788,0.016480375,1.3897076
LINC00392,1.134205,0.85435563,0.9260126,0.9319883,0.8807654,0.5748538,0.561338,0.725904,0.30602723,0.76269555,1.1879803,0.63758737,0.090823464,0.310001
KLF12,0.88613296,3.890577,0.8826976,0.09601753,1.6771121,5.9998183,4.8979716,3.1257832,1.5664905,0.7842393,3.9495835,3.4704227,8.141448,0.9561434
AL159972.1,0.9792211,0.91183615,1.125799,0.88058364,1.1525108,0.6982856,0.88755965,0.75060886,1.03794,0.9152813,0.8012941,0.9334715,0.91661566,0.7295104
LINC00402,0.72957027,0.19553706,0.49081597,0.1060855,0.6808428,0.022151776,0.14794755,0.17003946,0.017718147,0.35781226,0.77471423,0.030065427,0.35767883,0.015928956
AL353660.1,1.0296901,0.47419992,0.5627152,0.31424052,0.8591673,0.08729335,0.27123034,0.3955453,0.041230273,0.45776033,0.91737527,0.053269215,0.432998,0.029792553
AL355390.1,0.9224574,0.9068528,0.8963042,1.0537934,0.7808111,0.8762335,0.96097785,0.96749336,0.6222028,0.8958788,0.8527539,0.7766396,0.90985596,1.260038
LINC00381,0.6136929,0.743828,0.9707941,0.83242583,1.0069374,0.4092986,0.6384979,0.79842806,0.17088911,0.91731197,0.88556606,0.5662608,0.09548335,0.09913793
LINC00347,1.048501,0.8184514,0.8470315,0.86630523,0.8611088,0.973913,1.041117,1.0179625,0.46352512,1.000912,0.8541607,0.9687829,0.66260153,0.81473863
LINC01078,0.7378338,0.91875166,0.89165926,0.9118971,0.7739382,0.90721655,0.9386043,1.0211091,0.7943446,1.0696033,0.9321188,0.77427167,0.72199565,0.95151615
TBC1D4,2.2356272,0.32354847,3.0120416,2.7450476,2.7141728,3.7204535,1.2217579,2.3154695,2.9341753,1.2888918,1.5683588,0.33027855,2.709918,3.520021
AL139230.1,0.94980276,0.83509606,0.86298347,1.1246485,0.8193784,0.79454684,0.7934916,1.0464838,1.1794586,0.83878875,1.0058914,0.773471,0.83598465,0.88557976
COMMD6,0.66583395,0.13994348,0.7365829,0.29390544,1.2043656,0.1781896,0.47189164,0.12297883,0.24861957,0.28227544,1.3653079,0.13389829,0.15338744,0.6005214
UCHL3,1.3685762,0.18847202,0.3336738,0.72486633,0.4803421,0.78882873,1.0577186,0.40125966,0.6733934,0.3939278,0.6187599,0.96496904,0.35292515,2.6109176
LMO7-AS1,0.84485716,0.18620682,1.283064,0.2947833,1.2287738,0.68719786,0.11983513,0.111875206,0.14994097,0.41341284,0.71027654,0.08620052,0.06332749,0.8378129
LMO7,2.293044,0.28856757,4.722868,4.7361712,1.8053011,3.8784413,2.8877265,1.8728838,0.9811199,0.5343109,1.6806877,1.2611781,0.5515671,12.518715
AL137244.1,0.94507444,0.712517,0.713762,0.7206843,1.0882019,0.36176407,0.77034074,0.68624717,0.03937951,0.93017066,0.7691316,0.39721113,0.014132537,0.040783513
LMO7DN,1.1670567,0.9882864,0.9880242,0.98813117,0.79663706,1.0639731,1.0002992,1.1096802,0.8023948,0.59693867,1.2895708,0.86443996,0.7622968,0.7327516
LMO7DN-IT1,0.6397067,1.0471215,1.0107256,0.7904448,0.48729435,1.014409,0.92266476,1.0568976,0.8050089,0.75830734,0.98012316,0.9541238,0.7854375,0.70851034
LINC00561,0.9255964,0.9031859,0.84360117,0.90512604,0.96926814,0.7792173,0.9126848,0.8578939,0.5900538,0.891189,0.84644145,1.0409539,0.7465945,0.7685752
LINC01034,0.92079675,0.807999,0.8443233,0.7151005,1.1837577,1.0941837,0.8590256,0.95861834,0.98690367,0.81668067,0.90125996,0.8338656,0.80282,1.103768
AL136441.1,0.84111756,0.39368564,0.56889445,0.18194927,0.82244295,0.9586704,0.5193305,1.0411776,0.26504228,0.31379515,1.0502325,0.030539008,0.008849267,0.038809154
AL161717.1,1.1070342,0.9667144,0.9973195,0.90333873,0.81038505,0.7166909,0.92481923,0.94931054,0.17739084,0.73186445,0.96932775,0.5461366,0.040688273,0.1154997
AL365394.1,1.004506,0.921174,0.90003824,0.9270166,1.2898521,0.99372613,0.7330047,0.82963604,0.6503739,1.1200912,0.99977463,0.85297436,0.5339537,0.6755138
KCTD12,0.6861923,0.14698915,0.40345776,0.09914836,0.960333,0.57452375,0.80478567,0.3181611,1.3131868,0.2854611,0.5902212,0.19981176,0.057937466,0.083798
AC000403.1,0.910606,1.0195665,0.5850648,1.0591995,0.7868598,0.7724205,0.8305676,0.8059256,0.6798997,0.9280546,0.6506992,0.9533989,0.8696744,0.6484094
ACOD1,0.7590246,0.7363405,0.81989396,0.87465507,0.87733257,0.8721312,1.0128392,0.8258239,0.70239407,0.99053514,0.81235135,1.0951335,0.88449866,0.75585055
CLN5,1.0850358,0.33819076,1.3978951,0.6692405,0.56797886,0.467228,0.7926372,0.4915205,0.40886945,0.41017574,1.2466177,0.7111932,0.25677678,1.0355877
FBXL3,0.78696996,0.46237263,0.59383434,0.27146614,0.610391,0.7398748,0.9664236,0.83912647,0.48455256,0.37140074,1.6708506,0.4264528,0.41001034,1.1543123
MYCBP2-AS1,0.7728404,1.4459658,0.3812128,1.3906986,1.1098145,0.95577186,0.8819687,0.094120584,1.4658484,1.2133464,1.9538262,1.0497072,0.91956776,2.5614946
AC001226.1,0.9513229,0.8226805,1.0037104,0.9158252,1.1415414,0.42931998,0.87487274,0.8474502,0.8519361,0.98821354,1.0455871,0.66304487,0.5657932,0.61439145
MYCBP2,2.1743946,7.580381,4.530131,6.9970684,3.7192404,6.303738,6.915737,3.5237896,9.266433,4.00537,4.8197165,8.6732235,7.2817025,10.200817
MYCBP2-AS2,0.9819381,1.109625,0.70533407,0.8158341,0.89807576,0.8838255,0.93770486,1.1220889,0.98109674,0.8314026,0.97717637,0.8370547,0.78657204,0.83619213
AL159158.1,0.89713657,0.9144963,0.7839502,0.98192906,0.9871043,0.9368016,0.8841396,0.93570954,0.93760145,0.71573496,0.9208682,0.8140001,0.6397877,0.9987147
SCEL,0.9183759,0.5838703,0.6442919,0.22261965,0.93149436,0.025298547,0.26313728,0.2649891,0.007645571,0.32942343,0.9236596,0.024038479,0.004450185,0.31814855
AL137140.1,0.9994526,1.1265336,0.99424726,1.1733629,1.0496078,0.9944982,1.1612002,1.0785578,0.93393254,0.8324914,0.87850446,0.75905985,0.6713607,0.95316035
SCEL-AS1,0.7931987,1.2149649,0.9340069,0.7319239,1.0692658,0.83361226,0.750463,0.9488591,0.9008629,0.7150627,0.8077249,0.9464694,0.7339154,0.91213274
SLAIN1,0.677498,0.35580364,2.2517605,0.92821574,0.50573075,0.22570668,2.4276645,0.3491343,0.21854147,0.3725334,1.3210094,0.32559282,0.5865806,1.4275516
EDNRB-AS1,0.9397416,0.990626,0.90449435,0.58131117,0.70954347,0.17229576,0.6035693,0.6719854,0.12456109,0.6942274,0.8989318,0.1615952,0.018857274,0.045644872
EDNRB,0.65803075,0.43641523,0.6077345,0.19711924,1.2913382,0.30862933,0.28034323,0.29946908,0.06297641,0.6000739,0.6747795,0.025038611,0.009008236,0.05141069
OBI1-AS1,0.81468666,0.708231,0.85525435,0.7079901,0.98072726,0.18406463,0.6921639,0.7453916,0.055251423,0.6285964,1.028254,0.11831816,0.005201414,0.08864071
AL139002.1,0.99151605,1.0421064,0.87016106,0.86070937,0.9238559,0.8202567,1.0276775,0.8578212,0.4321932,0.87192357,0.9231103,0.9810852,0.5485521,0.7170748
LINC01069,0.9254411,0.9174768,0.94381386,0.88765854,1.116544,0.86762583,0.94787586,1.0326464,0.5855227,0.8114609,0.777601,0.7044861,0.54278916,0.6231165
LINC00446,0.8393715,0.87520367,1.0543346,0.8564573,0.86833864,0.7274391,0.8983446,0.7084256,0.8921314,0.937515,0.94168717,1.0740403,0.5655241,0.7895507
AL138957.1,0.9415162,0.72966444,0.818822,1.2221907,0.90777737,1.051993,0.81222975,0.8047357,0.74777776,0.9518694,0.8375669,0.974563,0.77089757,0.78320295
AL445209.1,0.9164173,1.0109662,0.9124089,0.7085153,0.9604591,0.81991816,0.93156,1.0968543,0.6854816,0.8784849,0.81579584,1.0531442,0.9045185,0.83669645
POU4F1,0.91301835,0.8997912,0.8596415,0.9865279,0.98985946,0.9943074,0.94282955,0.93621933,0.7085016,0.99316543,0.7043543,0.71322924,0.61878014,0.679572
OBI1,0.87873113,0.61668575,0.8167583,0.7359,1.0431405,0.23979168,0.51550084,0.4265138,0.3146876,0.39486283,0.78739727,0.20578545,0.25480226,0.6948638
LINC00331,0.8954535,0.9918859,0.78084457,0.84240055,0.8207496,0.90039074,0.9671457,0.84021497,0.7565985,0.76840574,0.8062931,0.94114417,0.6154792,0.6472115
RBM26,2.4979556,3.0059857,2.5765529,4.279203,2.309437,3.278664,4.217883,1.7881359,4.472683,2.3567472,4.2802362,4.1169233,2.8220582,7.395707
RBM26-AS1,1.0493816,0.8563098,0.6990428,0.58714247,0.93931246,0.16053689,0.77288234,0.3731984,0.039067745,0.5853547,0.8049209,0.12052406,0.02894815,0.12655734
NDFIP2-AS1,0.8352405,1.1362724,0.9061404,0.9633498,0.6818727,0.81354034,0.96205366,0.9137307,0.78042716,0.9072671,0.9311324,0.8223496,0.6850899,0.8094271
NDFIP2,2.218029,0.14833342,2.208605,1.944702,0.9665075,0.6487413,0.83447397,0.42600593,0.15966924,2.371006,1.6465865,0.6558641,0.24728379,3.292466
LINC01068,0.7303653,0.23574933,0.5561215,0.11566684,0.61131775,0.060347475,0.17297447,0.12379205,0.0065490417,0.3477172,0.64053917,0.02659552,0.015799962,0.10612479
AL136442.1,0.86630714,0.5830533,0.8338426,0.3794163,0.8559755,0.028531358,0.4897938,0.27475232,0.008394765,0.49999183,0.9134184,0.038554613,0.012793063,0.1950949
LINC01038,0.91422725,0.9172872,1.3981942,0.94412655,0.81881785,0.8389985,0.90574074,0.90530634,0.8137366,1.0614812,0.76201004,0.95093864,0.73756266,0.7185741
LINC00382,0.9474541,0.94646233,0.6954378,0.82866,0.97927403,0.8760637,0.98857826,1.0826417,0.6152875,1.2451496,0.90938747,1.0831137,0.5601022,0.5591806
AL158064.1,0.9280864,0.76853585,0.8415116,0.92185664,0.91340905,0.81908995,0.7849554,0.80297256,0.49118072,0.73081034,0.8835953,0.842408,0.28868037,0.44049594
LINC01080,0.8726318,0.7315884,0.81344926,0.91300863,0.7279804,0.7737891,0.9267018,0.8166666,0.620654,0.653394,0.7311311,1.0196542,0.627592,0.6610463
AL137781.1,0.9730002,0.6310364,0.8820085,0.85828173,0.94837505,0.18730149,0.7149342,0.82077414,0.019676575,0.7992269,0.5495598,0.27512982,0.0071476516,0.13128941
SPRY2,0.78054565,0.18458949,1.1965332,0.34764716,0.634695,0.2740736,0.39022386,0.3345598,0.11686172,0.3309008,0.70565873,0.07212658,0.046980783,0.51261765
AL590807.1,0.9133223,0.64827615,0.747344,0.58331966,0.739683,0.36033458,0.41459584,0.33626804,0.13467328,0.46212715,1.0314384,0.032951858,0.05029278,0.3214546
LINC00377,0.97121483,0.82907146,0.9351609,0.80800927,0.9440608,0.6838761,0.81860954,0.6964392,0.48909768,0.89962363,1.1017524,0.8504442,0.84828186,0.42849654
LINC00564,0.799327,1.1020449,0.9668495,1.2250346,0.84432137,0.5419038,0.917076,0.9244297,1.0830188,1.0335137,0.92846763,0.9028558,0.8374038,0.7788453
AL353633.1,1.0644871,0.9179942,0.96305573,0.60167897,0.8525422,0.84897906,0.7835071,1.1024324,0.7357897,0.83573323,0.9637558,0.8560917,0.73559713,0.7930907
AL445255.1,0.7495881,0.5838425,0.7326443,0.77391946,0.89339423,0.66840106,0.9467903,0.9098937,0.36818248,0.8149213,1.1509067,0.64451885,0.17772044,0.2604852
AL353688.1,0.912743,0.88411874,0.81137705,1.0283008,1.1195345,0.88823414,0.8231651,0.8251472,0.72580403,0.795615,1.0109187,0.8420518,0.86991423,1.0492506
SLITRK1,1.0524266,0.80663925,1.0876113,1.1282974,0.69558084,0.694365,1.0590873,1.1973268,0.47596025,1.0435182,0.7379105,0.63615596,0.35810044,0.21834986
AL355481.1,1.060106,1.0952574,1.0404681,1.139531,0.84337527,0.9902555,1.0803622,0.81780225,0.8859841,0.8876123,0.98106045,0.8320217,0.7202385,0.8348254
AL590681.1,1.0181024,0.98637295,1.0081471,0.8445729,0.9619365,1.0103897,0.8611854,0.93792003,0.66511005,0.8234309,0.78158784,1.0074948,0.6472706,0.89623415
AL445604.1,0.7364753,0.948154,0.83522373,0.9601884,0.7531322,0.9340632,1.1163684,0.9739871,0.41933835,0.89760107,0.8797642,1.2448025,0.9356952,0.3852564
AL162493.1,0.9550949,0.47133186,0.8175622,0.53558713,1.306422,0.07363064,0.5560477,1.180548,0.4986313,1.0912787,0.6680632,0.08860601,0.29592627,0.054500706
LINC00333,0.87033004,0.92349696,0.9708155,0.8835574,0.9110518,0.9242109,1.0317857,0.9286638,0.3959645,0.92788476,0.8444209,0.80189383,0.84440976,0.8684361
AL445588.1,0.8797971,0.91632444,0.8826088,1.0030158,0.9199723,0.99916875,1.0478712,1.3124862,0.7387958,0.84483004,0.8378562,1.0488486,0.6293817,1.0051618
AL356313.1,1.0750992,0.82359123,0.73961705,0.9769781,0.9170004,0.91345084,1.0308186,0.83862704,0.88920736,1.1903036,1.2520854,0.8275342,1.0904372,0.57857287
LINC00375,1.0779649,0.8172644,1.1397669,0.7521502,0.791473,0.829639,0.95494395,0.96070594,1.0805656,0.8795239,0.9699204,0.8035352,0.67959344,0.8220034
AL160154.1,0.88529974,0.94404256,1.0532306,1.0274278,0.9304175,0.71514505,0.8480528,0.9030666,0.73884636,0.9429627,1.2707498,0.843861,0.52148867,1.1032801
LINC00351,0.7280249,0.93465877,1.0249735,0.91754764,0.91644853,0.94266266,0.90096587,1.0405029,0.4525584,0.93908787,0.86886966,0.7340213,0.40000886,0.3973346
AL356413.1,0.6731301,0.98733884,1.1251183,1.0181347,1.1102107,0.95509714,0.9741842,1.1200904,0.75243086,0.79119176,0.88980985,0.99858445,0.7903931,0.9918735
SLITRK6,0.8014781,0.8250776,1.0150031,0.95365345,0.6877482,0.8187137,0.68487155,0.9805684,0.9070224,0.95006514,0.9217287,0.6045698,0.82890624,0.95475197
AL354994.1,0.6325403,1.0146449,1.2815568,0.87263644,0.9753803,0.66837513,0.76452446,1.1169417,0.81758434,1.0487415,0.64492214,0.8076177,0.7127353,0.7138768
AL445207.1,0.820638,0.82728183,1.0132111,0.9321645,0.82475215,0.5594484,1.0749844,0.74232423,0.37198713,0.89127403,0.8252276,0.9707601,0.37863982,0.40231836
LINC00430,0.9747406,0.7976107,0.91773427,1.0811379,1.0878417,0.9356892,0.90144837,1.0449325,0.64802384,0.9227735,0.94396657,0.8531003,0.8510413,0.6391671
AL360267.2,1.0455202,0.28907165,0.6131215,0.14821628,0.6866359,0.037754524,0.20307198,0.21267347,0.008704506,0.2479713,0.95271486,0.024605442,0.003983481,0.61246794
AL360267.1,0.98050493,1.0101138,0.9989204,0.9738849,1.0078894,0.73152983,0.8136968,1.1834351,1.0265572,0.93549836,0.994779,0.97155476,0.9482938,0.6501832
MIR4500HG,0.8013133,0.2564742,0.39352903,0.10131541,0.7729176,0.45974892,0.14583655,0.2502145,0.022832599,0.17967199,0.69063556,0.09582274,0.012473445,1.773281
AL355578.1,1.0718712,0.81653535,0.8001666,1.0644044,0.7807145,0.9262878,0.8750449,0.9974422,0.81214696,0.97858006,1.1382179,1.2549424,0.9113931,0.7115869
SLITRK5,1.0158858,0.15840232,0.33883864,0.10785807,1.0167408,0.80896306,0.105499186,0.23004347,0.026524914,0.16024658,0.6703648,0.044790756,0.014635941,0.124470726
LINC00397,0.93401885,0.8847842,0.9139317,0.5962917,0.9463732,0.08534886,0.61601454,0.46402037,0.012702811,0.6657151,1.2046323,0.11993565,0.00534707,0.087538056
AL445647.1,0.80066407,0.1639506,0.3336759,0.07757576,0.55777603,0.019496059,0.11055519,0.1148428,0.007260736,0.14687435,0.6995338,0.023095854,0.0044101966,0.26909462
LINC00373,0.8656457,0.8833892,1.023727,1.0458878,0.93302166,0.96420443,0.81707054,1.056468,0.94719523,0.91490054,0.6891638,0.7845295,0.7952951,0.8797897
AL355677.1,0.87168795,1.0704887,0.7218866,0.95982397,0.6891974,1.0351484,1.039571,0.9259449,0.723815,1.0051148,0.95885736,0.7843824,0.7510709,0.8267856
LINC00433,0.8031895,0.9747132,0.86567175,0.93386495,0.9927642,0.80032337,1.032337,0.8995826,0.6467064,0.87162924,0.9796692,0.74102974,0.84581786,0.83824736
AL445242.1,0.88495797,0.9003855,1.0651298,0.82883,0.98400444,0.93200135,0.8393019,0.89072,0.79462165,0.9848672,0.891843,0.9243092,0.780446,0.7839497
LINC00560,0.90071106,0.73354983,0.8161259,1.0213592,0.8496572,0.8691622,0.85844564,0.8826485,1.1375033,0.94652075,0.7130518,0.73532546,0.72549623,0.69941384
LINC00440,0.7585954,0.7413344,1.1532117,1.1647493,1.1176263,0.8131711,1.1445645,0.838944,0.6442177,1.0147438,0.7548161,1.0874738,0.6729633,0.8056865
LINC01047,0.9289552,0.82039535,1.0654488,0.8850874,0.7425838,0.72839326,0.89677066,1.125792,0.9204836,0.97208756,0.7616377,0.7609001,0.8958627,1.0222518
